,Layers,Perplexity,Sum,Quantized_layers
130,"[False, False, False, False, True, False, False, False, False, False, True, False]",28.09883689880371,2,"[5, 11]"
13,"[False, False, False, False, False, False, False, False, True, True, False, True]",28.110206604003903,3,"[9, 10, 12]"
11,"[False, False, False, False, False, False, False, False, True, False, True, True]",28.112173080444336,3,"[9, 11, 12]"
80,"[False, False, False, False, False, True, False, True, False, False, False, False]",28.129039764404297,2,"[6, 8]"
7,"[False, False, False, False, False, False, False, False, False, True, True, True]",28.1361026763916,3,"[10, 11, 12]"
33,"[False, False, False, False, False, False, True, False, False, False, False, True]",28.1361026763916,2,"[7, 12]"
20,"[False, False, False, False, False, False, False, True, False, True, False, False]",28.1380672454834,2,"[8, 10]"
69,"[False, False, False, False, False, True, False, False, False, True, False, True]",28.14670181274414,3,"[6, 10, 12]"
70,"[False, False, False, False, False, True, False, False, False, True, True, False]",28.14748764038086,3,"[6, 10, 11]"
14,"[False, False, False, False, False, False, False, False, True, True, True, False]",28.153379440307617,3,"[9, 10, 11]"
133,"[False, False, False, False, True, False, False, False, False, True, False, True]",28.15809440612793,3,"[5, 10, 12]"
34,"[False, False, False, False, False, False, True, False, False, False, True, False]",28.16280746459961,2,"[7, 11]"
134,"[False, False, False, False, True, False, False, False, False, True, True, False]",28.174598693847656,3,"[5, 10, 11]"
44,"[False, False, False, False, False, False, True, False, True, True, False, False]",28.176958084106445,3,"[7, 9, 10]"
73,"[False, False, False, False, False, True, False, False, True, False, False, True]",28.1793155670166,3,"[6, 9, 12]"
74,"[False, False, False, False, False, True, False, False, True, False, True, False]",28.18521499633789,3,"[6, 9, 11]"
140,"[False, False, False, False, True, False, False, False, True, True, False, False]",28.18521499633789,3,"[5, 9, 10]"
24,"[False, False, False, False, False, False, False, True, True, False, False, False]",28.18757438659668,2,"[8, 9]"
17,"[False, False, False, False, False, False, False, True, False, False, False, True]",28.188751220703125,2,"[8, 12]"
144,"[False, False, False, False, True, False, False, True, False, False, False, False]",28.18914604187012,2,"[5, 8]"
96,"[False, False, False, False, False, True, True, False, False, False, False, False]",28.206451416015625,2,"[6, 7]"
48,"[False, False, False, False, False, False, True, True, False, False, False, False]",28.208812713623047,2,"[7, 8]"
41,"[False, False, False, False, False, False, True, False, True, False, False, True]",28.221410751342773,3,"[7, 9, 12]"
137,"[False, False, False, False, True, False, False, False, True, False, False, True]",28.223773956298828,3,"[5, 9, 12]"
37,"[False, False, False, False, False, False, True, False, False, True, False, True]",28.22968101501465,3,"[7, 10, 12]"
18,"[False, False, False, False, False, False, False, True, False, False, True, False]",28.234010696411133,2,"[8, 11]"
67,"[False, False, False, False, False, True, False, False, False, False, True, True]",28.23519515991211,3,"[6, 11, 12]"
42,"[False, False, False, False, False, False, True, False, True, False, True, False]",28.243860244750977,3,"[7, 9, 11]"
77,"[False, False, False, False, False, True, False, False, True, True, False, True]",28.250560760498047,4,"[6, 9, 10, 12]"
138,"[False, False, False, False, True, False, False, False, True, False, True, False]",28.263959884643555,3,"[5, 9, 11]"
100,"[False, False, False, False, False, True, True, False, False, True, False, False]",28.27185440063477,3,"[6, 7, 10]"
38,"[False, False, False, False, False, False, True, False, False, True, True, False]",28.27658462524414,3,"[7, 10, 11]"
131,"[False, False, False, False, True, False, False, False, False, False, True, True]",28.288028717041016,3,"[5, 11, 12]"
104,"[False, False, False, False, False, True, True, False, True, False, False, False]",28.28841781616211,3,"[6, 7, 9]"
84,"[False, False, False, False, False, True, False, True, False, True, False, False]",28.294342041015625,3,"[6, 8, 10]"
81,"[False, False, False, False, False, True, False, True, False, False, False, True]",28.307371139526367,3,"[6, 8, 12]"
21,"[False, False, False, False, False, False, False, True, False, True, False, True]",28.307371139526367,3,"[8, 10, 12]"
82,"[False, False, False, False, False, True, False, True, False, False, True, False]",28.30816078186035,3,"[6, 8, 11]"
56,"[False, False, False, False, False, False, True, True, True, False, False, False]",28.310136795043945,3,"[7, 8, 9]"
148,"[False, False, False, False, True, False, False, True, False, True, False, False]",28.311716079711918,3,"[5, 8, 10]"
88,"[False, False, False, False, False, True, False, True, True, False, False, False]",28.31842994689941,3,"[6, 8, 9]"
78,"[False, False, False, False, False, True, False, False, True, True, True, False]",28.323566436767575,4,"[6, 9, 10, 11]"
152,"[False, False, False, False, True, False, False, True, True, False, False, False]",28.34372329711914,3,"[5, 8, 9]"
15,"[False, False, False, False, False, False, False, False, True, True, True, True]",28.35124015808105,4,"[9, 10, 11, 12]"
45,"[False, False, False, False, False, False, True, False, True, True, False, True]",28.351638793945312,4,"[7, 9, 10, 12]"
71,"[False, False, False, False, False, True, False, False, False, True, True, True]",28.353612899780277,4,"[6, 10, 11, 12]"
46,"[False, False, False, False, False, False, True, False, True, True, True, False]",28.36310577392578,4,"[7, 9, 10, 11]"
146,"[False, False, False, False, True, False, False, True, False, False, True, False]",28.36706924438477,3,"[5, 8, 11]"
22,"[False, False, False, False, False, False, False, True, False, True, True, False]",28.368253707885746,3,"[8, 10, 11]"
52,"[False, False, False, False, False, False, True, True, False, True, False, False]",28.368650436401367,3,"[7, 8, 10]"
25,"[False, False, False, False, False, False, False, True, True, False, False, True]",28.3702335357666,3,"[8, 9, 12]"
135,"[False, False, False, False, True, False, False, False, False, True, True, True]",28.372209548950195,4,"[5, 10, 11, 12]"
35,"[False, False, False, False, False, False, True, False, False, False, True, True]",28.37339782714844,3,"[7, 11, 12]"
145,"[False, False, False, False, True, False, False, True, False, False, False, True]",28.378149032592773,3,"[5, 8, 12]"
141,"[False, False, False, False, True, False, False, False, True, True, False, True]",28.37893867492676,4,"[5, 9, 10, 12]"
142,"[False, False, False, False, True, False, False, False, True, True, True, False]",28.38289833068848,4,"[5, 9, 10, 11]"
26,"[False, False, False, False, False, False, False, True, True, False, True, False]",28.383689880371094,3,"[8, 9, 11]"
97,"[False, False, False, False, False, True, True, False, False, False, False, True]",28.384483337402344,3,"[6, 7, 12]"
98,"[False, False, False, False, False, True, True, False, False, False, True, False]",28.38646507263184,3,"[6, 7, 11]"
75,"[False, False, False, False, False, True, False, False, True, False, True, True]",28.38685607910156,4,"[6, 9, 11, 12]"
